"ID","FAMILY_ID","DR_DATE","DR_COMMENTS","LAST_UPDATED_BY","LAST_UPDATED_DATE","CREATED_BY","CREATED_DATE"
50599,2757,"30-07-2015","","",29-JUL-15 05.05.47.557000000 PM,"",29-JUL-15 05.05.47.557000000 PM
50600,2758,"30-07-2015","","",29-JUL-15 05.05.56.231000000 PM,"",29-JUL-15 05.05.56.231000000 PM
50601,2759,"30-07-2015","","",29-JUL-15 05.06.19.475000000 PM,"",29-JUL-15 05.06.19.475000000 PM
50602,2760,"30-07-2015","","",29-JUL-15 05.07.33.637000000 PM,"",29-JUL-15 05.07.33.637000000 PM
50603,2761,"30-07-2015","","",29-JUL-15 05.07.38.754000000 PM,"",29-JUL-15 05.07.38.754000000 PM
50604,2762,"30-07-2015","","",29-JUL-15 05.08.11.826000000 PM,"",29-JUL-15 05.08.11.826000000 PM
44465,1909,"17-05-2015","","",16-MAY-15 05.51.07.182000000 PM,"",16-MAY-15 05.51.07.182000000 PM
44466,1912,"17-05-2015","","",16-MAY-15 05.51.19.647000000 PM,"",16-MAY-15 05.51.19.647000000 PM
44467,1913,"17-05-2015","","",16-MAY-15 05.51.42.704000000 PM,"",16-MAY-15 05.51.42.704000000 PM
44468,1914,"17-05-2015","","",16-MAY-15 05.52.35.308000000 PM,"",16-MAY-15 05.52.35.308000000 PM
44469,1916,"17-05-2015","","",16-MAY-15 05.52.39.582000000 PM,"",16-MAY-15 05.52.39.582000000 PM
44470,1917,"17-05-2015","","",16-MAY-15 05.52.48.974000000 PM,"",16-MAY-15 05.52.48.974000000 PM
44471,1918,"17-05-2015","","",16-MAY-15 05.53.12.234000000 PM,"",16-MAY-15 05.53.12.234000000 PM
44472,1920,"17-05-2015","","",16-MAY-15 05.53.28.536000000 PM,"",16-MAY-15 05.53.28.536000000 PM
50605,2763,"30-07-2015","","",29-JUL-15 05.08.16.054000000 PM,"",29-JUL-15 05.08.16.054000000 PM
44474,2589,"17-05-2015","","",16-MAY-15 05.54.13.917000000 PM,"",16-MAY-15 05.54.13.917000000 PM
44475,2590,"17-05-2015","","",16-MAY-15 05.54.27.629000000 PM,"",16-MAY-15 05.54.27.629000000 PM
44476,2591,"17-05-2015","","",16-MAY-15 05.55.25.101000000 PM,"",16-MAY-15 05.55.25.101000000 PM
